Nazwa,Kategoria,Ocena,Liczba opinii,Adres,Telefon,Email,Strona WWW,Facebook,Instagram,Mapa Google,Pewność e-maila
I'M STUDIO Trening Personalny Terapia Ruchem,Trener osobisty,5.0,85,"Sukiennicza 4, 87-100 Toruń",+48 730 634 934,imstudio@imstudio.eu,https://imstudio.eu/,http://facebook.com/ImStudioTorun,,https://www.google.com/maps/search/?api=1&query=I'M%20STUDIO,Wysoka (z pierwotnej bazy)
Adam Zieliński,Trener osobisty,5.0,7,"Bolesława Chrobrego 145, 87-100 Toruń",+48 690 372 109,recepcja@mentorsport.pl,,,,https://www.google.com/maps/search/?api=1&query=Adam%20Zieli%C5%84ski,Niska (trener prowadzi zajęcia w MentorSport)
Polak Academy EMS & Personal Training,Siłownia / EMS,4.3,11,"Świętego Andrzeja Boboli 65, 87-162 Toruń",+48 735 390 533,polakacademy.torun@gmail.com,https://www.facebook.com/PolakAcademyTorun,,,https://www.google.com/maps/search/?api=1&query=Polak%20Academy%20EMS,Wysoka (wpis w KRS/Rejestrze)
Twardy Fitness Center,Trener osobisty,5.0,7,"Stanisława Żółkiewskiego 15, 87-100 Toruń",+48 661 718 241,tomtwa2@gmail.com,http://twardyfitnesscenter.pl/,https://www.facebook.com/TwardyFitnessCenter,https://www.instagram.com/twardyfitnesscenter,https://www.google.com/maps/search/?api=1&query=Twardy%20Fitness%20Center,Wysoka (z pierwotnej bazy)
DRYLA PRO,Trener osobisty,5.0,14,"Chrobrego 94, 87-100 Toruń",+48 698 740 205,agata@dryla.pro; filip@dryla.pro; info@dryla.pro,https://www.dryla.pro/,https://www.facebook.com/DrylaPRO,https://www.instagram.com/drylapro,https://www.google.com/maps/search/?api=1&query=DRYLA%20PRO,Wysoka (z pierwotnej bazy)
TRENNER Nina Nadolny,Trener osobisty,5.0,8,"Studzienna 41, 87-100 Toruń",,kontakt@emstorun.pl,,http://www.facebook.com/nn.trener,http://www.instagram.com/trenner.pl,https://www.google.com/maps/search/?api=1&query=TRENNER%20Nina%20Nadolny,"Średnia (trenerka w studio EMS Toruń, brak prywatnego maila)"
Masterfizjotrener,Trener osobisty / Fizjoterapeuta,5.0,9,"Szosa Chełmińska 177, 87-100 Toruń",+48 696 182 077,michalmaster.training@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Masterfizjotrener,Wysoka (z pierwotnej bazy)
Fizjoterapia Chaustowicz,Fizjoterapeuta / Trener,5.0,25,"Polna 7b, 87-100 Toruń",+48 737 175 177,kontakt@chaustowicz.pl; trener@chaustowicz.pl,https://chaustowicz.pl/,https://www.facebook.com/kchaustowicz,http://www.instagram.com/krystianchaustowicz,https://www.google.com/maps/search/?api=1&query=Fizjoterapia%20Chaustowicz,Wysoka (z pierwotnej bazy)
Fitpaulis,Trener osobisty,,,Toruń (brak adresu),+48 512 073 424,fitpaulis@gmail.com,https://www.fitpaulis.pl/,https://www.facebook.com/trenertorun,https://www.instagram.com/fit_paulis,https://www.google.com/maps/search/?api=1&query=Fitpaulis,Wysoka (z pierwotnej bazy)
Przyjazny Dietetyk Toruń – Radosław Siałkowski,Dietetyk,5.0,15,"Szosa Chełmińska 166, 87-100 Toruń",+48 668 973 187,kontakt@przyjazny-dietetyk.pl,https://przyjazny-dietetyk.pl/,https://facebook.com/przyjaznydietetykpl,https://www.instagram.com/przyjaznydietetyk,https://www.google.com/maps/search/?api=1&query=Przyjazny%20Dietetyk%20Toru%C5%84,Wysoka (z pierwotnej bazy)
