slug,vercel_project,env_VITE_CLIENT_SLUG,status
jagoda-konczal-trener-personalny,trener-jagoda-konczal-trener-personalny,jagoda-konczal-trener-personalny,ready
jakub-stypczynski-trener-personalny-bydgoszcz,trener-jakub-stypczynski-trener-personalny-bydgoszcz,jakub-stypczynski-trener-personalny-bydgoszcz,deployed
kacper-wendrowski-trener-personalny-bydgoszcz,trener-kacper-wendrowski-trener-personalny-bydgoszcz,kacper-wendrowski-trener-personalny-bydgoszcz,ready
kaja-narkun,trener-kaja-narkun,kaja-narkun,ready
kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,trener-kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,kamil-rzepka-body-practiz-trener-personalny-trener-osobisty,ready
karol-siemianowski,trener-karol-siemianowski,karol-siemianowski,ready
klinika-sportu-jacka-goralskiego,trener-klinika-sportu-jacka-goralskiego,klinika-sportu-jacka-goralskiego,ready
lukasz-dziennik-atletyczna-sila,trener-lukasz-dziennik-atletyczna-sila,lukasz-dziennik-atletyczna-sila,deployed
maciej-karolczyk-trener-personalny,trener-maciej-karolczyk-trener-personalny,maciej-karolczyk-trener-personalny,ready
maja-burek-trener-personalny,trener-maja-burek-trener-personalny,maja-burek-trener-personalny,ready
maksymilian-papierowski-trener-personalny,trener-maksymilian-papierowski-trener-personalny,maksymilian-papierowski-trener-personalny,ready
marcin-osak-trener-personalny,trener-marcin-osak-trener-personalny,marcin-osak-trener-personalny,ready
mateusz-gawarkiewicz,trener-mateusz-gawarkiewicz,mateusz-gawarkiewicz,ready
mateusz-mazur,trener-mateusz-mazur,mateusz-mazur,ready
mikolaj-karaszewski-fitness-lifestyle,trener-mikolaj-karaszewski-fitness-lifestyle,mikolaj-karaszewski-fitness-lifestyle,ready
norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,trener-norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,norbert-lysiak-trener-osobisty-triathlon-mtb-plywanie,ready
oskar-kaliszewski-trener-personalny,trener-oskar-kaliszewski-trener-personalny,oskar-kaliszewski-trener-personalny,ready
patryk-kozikowski,trener-patryk-kozikowski,patryk-kozikowski,ready
patryk-michalek-trener-personalny,trener-patryk-michalek-trener-personalny,patryk-michalek-trener-personalny,deployed
rehaformove,trener-rehaformove,rehaformove,ready
ruch-studio-treningu-trener-personalny-bydgoszcz,trener-ruch-studio-treningu-trener-personalny-bydgoszcz,ruch-studio-treningu-trener-personalny-bydgoszcz,deployed
smart-sport-education-center,trener-smart-sport-education-center,smart-sport-education-center,ready
sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,trener-sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,sporthub-studio-treningu-personalnego-trening-personalny-trening-dla-kobiet-bydgoszcz,deployed
stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,trener-stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,stf-studio-treningu-funkcjonalnego-trener-osobisty-bydgoszcz,deployed
strefa-sprawnych-miesni-fizjoterapia-i-trening,trener-strefa-sprawnych-miesni-fizjoterapia-i-trening,strefa-sprawnych-miesni-fizjoterapia-i-trening,ready
studio-rownowaga-trening-medyczny,trener-studio-rownowaga-trening-medyczny,studio-rownowaga-trening-medyczny,ready
trener-biegania-bydgoszcz-brzezinski,trener-trener-biegania-bydgoszcz-brzezinski,trener-biegania-bydgoszcz-brzezinski,deployed
trener-personalny-bydgoszcz-nicolas-marysiak,trener-trener-personalny-bydgoszcz-nicolas-marysiak,trener-personalny-bydgoszcz-nicolas-marysiak,ready
trener-personalny-kamil-makowski,trener-trener-personalny-kamil-makowski,trener-personalny-kamil-makowski,deployed
trener-personalny-kamil-tyma,trener-trener-personalny-kamil-tyma,trener-personalny-kamil-tyma,ready
trener-personalny-szymon-idzinski,trener-trener-personalny-szymon-idzinski,trener-personalny-szymon-idzinski,ready
trener-radoslaw-habera,trener-trener-radoslaw-habera,trener-radoslaw-habera,ready
trenerka-werka-weronika-szyczewska-tchorzewska,trener-trenerka-werka-weronika-szyczewska-tchorzewska,trenerka-werka-weronika-szyczewska-tchorzewska,ready
tutrenuje,trener-tutrenuje,tutrenuje,ready
warownia,trener-warownia,warownia,ready
wiktoria-wasik,trener-wiktoria-wasik,wiktoria-wasik,deployed
